情感分析结果,评价倾向,商品评论
0.9988115224971877,喜欢,买了差不多1000块的，书都很好，无破损，物流快，送货小哥服务态度一流，很多书都没拆保护膜，看外观都没什么问题，到货就收起来了，今天为了评价又拿出来拍照。比之前在**买的划算，又续了一年京东会员，完美！
0.9345435568222461,喜欢,京东商城的产品质量挺好的，物流也很快，谢谢#！好评！
0.9648386535340775,喜欢,物流相当给力，我很喜欢，黑皮封面的，纸的颜色都是护眼的，感觉还是蛮好的，毕竟现在找个书店去买书，还不知道得多远呢。
0.969760720318983,喜欢,买了4本才69块，很nice的一次购物，全部正品。昨天晚上8点下单第二天中午11点半就到了。在学校不只是有手机陪伴以后也要多看书呀?
0.9988115224971877,喜欢,买了差不多1000块的，书都很好，无破损，物流快，送货小哥服务态度一流，很多书都没拆保护膜，看外观都没什么问题，到货就收起来了，今天为了评价又拿出来拍照。比之前在**买的划算，又续了一年京东会员，完美！
0.9371279484458477,喜欢,纸质很好，印刷精美，是正版书
0.7337443238934578,喜欢,京东图书日，看榜单，推荐购买的，看评价也很不错，也接受一下文学的熏陶，在家太无聊了，看一下书。
0.9999999947991769,喜欢,余华的著名作品，以前读过余华的活着、兄弟、第七天等几本书籍，人物构思明确，这本许三观**记写的很生动，描述了那个时代的历史意义，多读书对人有很大的意义，比每天拿着手机强多了，京东书籍全是正版，可以放心购买阅读，价格比书店便宜很多
0.6317824344475933,喜欢,双十二凑单买的，看评价说还不错拍了几个前页，内容还没有看，京东物流挺快的，这是调货，很快就送到了
0.9996787482331276,喜欢,在京东购买的性价比很高，哪，优惠下来，然后下面蛮不错的，书质量也很好，嗯，还没有做，等读了再看这本书如何？
0.9999999285978063,喜欢,余华的小说真的很棒的，真的很有是洞穿一切的力量。那种****的可怕恐怖，那种对暴力和死亡的迷醉，那种冰冷刺骨却平静自然的叙述真的是很强烈啦！真的超级好看，值得一看，这个社会不会好了，大家也都不会好了！支持京东！
0.9999970690239695,喜欢,这次是赶上做活动了，满100减50，挑了17本书，大都是孩子看的，孩子二年级老师推荐的这些书，纸张质量很好，京东货真价实，送货呢也挺快的，就是有的卷不知道怎么用，总觉得看起来很乱，但是这次优惠力度还是挺不错的，希望这些书籍对孩子有帮助。
0.9999362753836128,喜欢,挺好的，纸张厚实，以后买书就在京东了，哈哈挺好的，纸张厚实，以后买书就在京东了，哈哈挺好的，纸张厚实，以后买书就在京东了，哈哈挺好的，纸张厚实，以后买书就在京东了，哈哈，透着书，有一种纸张的香味，挺好的
0.9907888800358752,喜欢,儿子坐在书的海洋里不亦乐乎！哈哈
0.9789518249135241,喜欢,近日天天下雨甚是无聊，手机电视越看越觉得空虚，于是想看书，昨日下单今日到京东快递快快快啊
0.9999989952890407,喜欢,书质量特别好，还没开始看，带宝宝时间有点紧，多买书，以后为宝宝营造好的文学氛围。内容就不用多说了，肯定是有很多值得学习的东西。人丑要多读书，人穷也要多读书，嗯，没错的。希望自己后面能多挤出时间来读读这本书。加油！
0.3085071536905396,不喜欢,还没看(~_~;)，不知道呢，是看了网上的简介，才来买的。期待。??
0.9994307209935349,喜欢,看了一部分，觉得故事性还不错，比较吸引人，值得推荐
0.9956467763412805,喜欢,这次刚才京东图书活动，这也是对京东这一活动的支持吧，图书还没有看，就先不对图书进行内容的评价，但图书都是全新未开封的，这点可以肯定，图也许不会看，但有时间看到买来的图还是会看两眼的，也是对自己的提醒，这是现在电子书比不了的，希望自己能坚持看下去！
0.999999999996932,喜欢,书很快收到，质量也很好，收到就看了，书确实买对了，活着，这本书，真的读这个文学作品，让人感触颇深。很快就收到货了，真是又快又方便，品质也有保证，实乃上网购物首选很快就收到货了，真是又快又方便，品质也有保证，实乃上网购物首选，
0.1363512895341238,不喜欢,第一，是先了解的作者，了解了他的代表作，才看到这本书。第二在京东上搜索是比较便利的。第三是下单方便且搞得有活动，下单便宜。第四物流是非常快的第一天的晚上下单，第二天就送到了，晚上就可以翻开看看，快递服务态度非常好。第五书本质量好，纸张好字迹清晰。
0.03636157858339517,不喜欢,这几本书都是我一直想买，但没有买的。趁着双11一次性买了。最近一直在看黄仁宇先生的作品，非常发人深省。京东的自营物流快的没得说，但是我这几件都是调货过来的，所以多等了几天。包装的还可以，每一本书都有塑封，很完整。最后要吐槽一点，就是双11后一天居然比双11的时候更便宜。
0.9999999995008151,喜欢,余华的书真的是很棒了，真的！超级！超级喜欢余华的书，书里的荒诞黑暗的时代，那种人性冰冷的可怕?真的那种对于暴力与死亡的迷恋，那种黑暗中刺骨的感觉，让人不禁背部发凉真的很震撼人性，真的很值得一看的小说！！！
0.5895513781508024,一般,同一批书还没看呢。都说比较好找个时间看一看。
0.9982573546288261,喜欢,喜欢余华的小说都还比较喜欢里面写的许三观真的是三观很有问题因为一边带崽崽所以看的很慢很慢很慢还是慢慢的看完了怎么说京东买书还是很划算的我爱#不过这个月的券不给力呀
0.9988115224971877,喜欢,买了差不多1000块的，书都很好，无破损，物流快，送货小哥服务态度一流，很多书都没拆保护膜，看外观都没什么问题，到货就收起来了，今天为了评价又拿出来拍照。比之前在**买的划算，又续了一年京东会员，完美！
0.9999998926191909,喜欢,余华先生作品语气平淡无奇，波澜不惊，而寓意深刻，另外回味无穷，读他的小说是一种享受。京东快递服务一流。
0.9376217620030076,喜欢,还不错，服务态度也很好
0.9999999802087332,喜欢,兄弟，这本书还没有看书，是正品，质量不错，哪个性价比也挺好买的，性价比也挺高的，嗯，相信余华的作品，读起来还是非常非常不错的，虽然平凡但很有意义。
0.9773654755904098,喜欢,凌晨抢到的600-400的券，下午五点半就收到书，这种速度太给力了，又屯了一批书，有给孩子的，有给老婆的，也有给自己的。京东图书节价格最给力。
0.5,一般,""""""
0.9999995617499886,喜欢,这三本一起评价，是因为都出自大家，心意很久了。活着最早接触是因为1994年张艺谋的电影，葛优和巩俐精湛的演技打动了我。
0.5,一般,""""""
0.999935099278562,喜欢,龙应台的书读过不少，最著名的要算目送，这一本我在方所书店撑着午休时间读过一些，确实很棒。
0.5,一般,""""""
0.9999999998850404,喜欢,杨先生的我们仨，细细碎碎的文字记录了生活点点滴滴，没有华丽的词藻，没有刻意的修辞，每一篇都自然开头和结尾，但每一篇都打动心弦。值得一生好好阅读
0.0,不喜欢,书还不知道是不是正品，还没检查，但是心情很不好。东西的箱子一来就有三个缺口，然后我弄的是货到付款。但是看到这个箱子我的心情差到了底，于是不得不在下面就看了一眼，大写的烦人?。倒数第二张图本来有个洞，但是没有那么大，我看到后很气，就在下面问送货员我要检查一下，你这箱子到处都是破的，在下面就撕了看了看。我说这个是书，为什么连保护的都没有，而且包装很差，送货途中好差。最后一张图是从里面照的没有撕里面，那个包装真的好差。无语了?，一起也在京东买过，但是起码箱子不会像废品一样那么破烂。我觉得书还是不错的，但是快递真是不敢恭维的。本人本来很开心的去收货，但是来到箱子就很难受。很不喜欢你们这样糟蹋我的书，希望商家反思一下，将书这一类的快递做好，而不是乱来。最后，商家虽然买书很优惠，但是我希望在降价的同时还有提质，这种易损坏的东西好好的包好，加一点填充物与保护膜。另外就是送货员能够好好送货，不要将货物乱扔乱放。总之取货经历很不愉快，只能差评。
1.0,喜欢,书籍非常好，活动优惠券购买的，非常实惠，绝对正版，虽然不是纸箱包装，塑料外包装，书籍完好，一角有损坏，快递小哥主动让检查看看有没有损坏书籍，非常负责，有责任心，为京东正版图书点赞?，为京东周到服务点赞?，为京东快递小哥责任心点赞?。。希望京东越来越好。排版局促，印刷字体阅读累眼睛，翻页不好翻，纸张韧性不够，柔软度没有，偏硬 超好看，而且比书店便宜很多，质量也很好 很喜欢东野的书，第一次知道他是因为《解忧杂货店》，这三本书很好，东野圭*的书有折扣不容易，碰到了就买点吧。一直喜欢东野圭*的书，真的不错，值得购买。《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。其他买的书记也非常经典
0.0020901181663257606,不喜欢,这本书买给我自己收藏的，留着慢慢看，很喜欢。因为我现在的生活所需主要来源于网购，所以我每天会收到大量的包裹，还要一一拆掉，验货，安装，规划，所以我实在没有时间针对每一个商品去写评价，就统一写了这段好评，用以评价我觉得满意的商品。 另外，特殊感谢下京东，京东的当日送达和次日送达太方便太给力了，而且京东的快递小哥们服务都特别好！ 再提个建议，京东品牌自营店里的商品再全些就更好了，好多东西还是需要上品牌官方旗舰店去买。 总之，从商品到服务，本次购物综合评价五星。
0.999083031834211,喜欢,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我**购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！图片随便发的
0.9999865362966555,喜欢,一直以来都在京东购买大大小小的东西物品，京东上挑选和下单非常的方便，其次价格保护这方面做得非常好，以往买了看到价格波动，有时有些遗憾，现在买东西不用犹豫也不用担心，买完七天内有价格波动的，可以申请价格保护，售后电话接通方便，处理效率及时，让人很省心，在价格优惠上也有很多活动和优惠券，针对PULS会员的每月100优惠券加上京东反馈回来，真的可以省很大的一笔钱。不论是生活用品还是零食日用品食物等，京东在品质上做到了绝对放心可靠，京东自营不仅仅是品牌，更是正品高质量的保证和标识！网购首选京东，我信赖我放心！！！
